SAMPLEID	OMIC	FULLPATH	R1	R2	ASSEMBLY_GROUPING	LAB_NUM	FULL_NAME
117_L001	METAGENOMIC	/vortexfs1/omics/huber/data/frenemies-metaG-jan2023/Frenemies_MCR_metag_2022_done	117_S1_L001_R1_001.fastq.gz	117_S1_L001_R2_001.fastq.gz	WhiteCastle	117	MCR_METAG_117_WhiteCastle_J2-1235
117_L002	METAGENOMIC	/vortexfs1/omics/huber/data/frenemies-metaG-jan2023/Frenemies_MCR_metag_2022_done	117_S1_L002_R1_001.fastq.gz	117_S1_L002_R2_001.fastq.gz	WhiteCastle	117	MCR_METAG_117_WhiteCastle_J2-1235
118_L001	METAGENOMIC	/vortexfs1/omics/huber/data/frenemies-metaG-jan2023/Frenemies_MCR_metag_2022_done	118_S2_L001_R1_001.fastq.gz	118_S2_L001_R2_001.fastq.gz	X18	118	MCR_METAG_118_X18_J2-1235
118_L002	METAGENOMIC	/vortexfs1/omics/huber/data/frenemies-metaG-jan2023/Frenemies_MCR_metag_2022_done	118_S2_L002_R1_001.fastq.gz	118_S2_L002_R2_001.fastq.gz	X18	118	MCR_METAG_118_X18_J2-1235
119_L001	METAGENOMIC	/vortexfs1/omics/huber/data/frenemies-metaG-jan2023/Frenemies_MCR_metag_2022_done	119_S3_L001_R1_001.fastq.gz	119_S3_L001_R2_001.fastq.gz	Rav2	119	MCR_METAG_119_Rav2_J2-1238
119_L002	METAGENOMIC	/vortexfs1/omics/huber/data/frenemies-metaG-jan2023/Frenemies_MCR_metag_2022_done	119_S3_L002_R1_001.fastq.gz	119_S3_L002_R2_001.fastq.gz	Rav2	119	MCR_METAG_119_Rav2_J2-1238
120_L001	METAGENOMIC	/vortexfs1/omics/huber/data/frenemies-metaG-jan2023/Frenemies_MCR_metag_2022_done	120_S4_L001_R1_001.fastq.gz	120_S4_L001_R2_001.fastq.gz	OldManTree	120	MCR_METAG_120_OldManTree_J2-1238
120_L002	METAGENOMIC	/vortexfs1/omics/huber/data/frenemies-metaG-jan2023/Frenemies_MCR_metag_2022_done	120_S4_L002_R1_001.fastq.gz	120_S4_L002_R2_001.fastq.gz	OldManTree	120	MCR_METAG_120_OldManTree_J2-1238
121_L001	METAGENOMIC	/vortexfs1/omics/huber/data/frenemies-metaG-jan2023/Frenemies_MCR_metag_2022_done	121_S5_L001_R1_001.fastq.gz	121_S5_L001_R2_001.fastq.gz	Shrimpocalypse	121	MCR_METAG_121_Shrimpocalypse_J2-1240
121_L002	METAGENOMIC	/vortexfs1/omics/huber/data/frenemies-metaG-jan2023/Frenemies_MCR_metag_2022_done	121_S5_L002_R1_001.fastq.gz	121_S5_L002_R2_001.fastq.gz	Shrimpocalypse	121	MCR_METAG_121_Shrimpocalypse_J2-1240
122_L001	METAGENOMIC	/vortexfs1/omics/huber/data/frenemies-metaG-jan2023/Frenemies_MCR_metag_2022_done	122_S6_L001_R1_001.fastq.gz	122_S6_L001_R2_001.fastq.gz	LotsOShrimp	122	MCR_METAG_122_LotsOShrimp_J2-1241
122_L002	METAGENOMIC	/vortexfs1/omics/huber/data/frenemies-metaG-jan2023/Frenemies_MCR_metag_2022_done	122_S6_L002_R1_001.fastq.gz	122_S6_L002_R2_001.fastq.gz	LotsOShrimp	122	MCR_METAG_122_LotsOShrimp_J2-1241
123_L001	METAGENOMIC	/vortexfs1/omics/huber/data/frenemies-metaG-jan2023/Frenemies_MCR_metag_2022_done	123_S7_L001_R1_001.fastq.gz	123_S7_L001_R2_001.fastq.gz	LotsOShrimp	123	MCR_METAG_123_LotsOShrimp_J2-1242
123_L002	METAGENOMIC	/vortexfs1/omics/huber/data/frenemies-metaG-jan2023/Frenemies_MCR_metag_2022_done	123_S7_L002_R1_001.fastq.gz	123_S7_L002_R2_001.fastq.gz	LotsOShrimp	123	MCR_METAG_123_LotsOShrimp_J2-1242
